,MANDT_x,EBELN,EBELP,MATNR,BUKRS_x,WERKS,MENGE,NETPR,NETWR,LABNR,MANDT_y,LIFNR,BUKRS_y,BSTYP,BSART,LOEKZ,STATU,AEDAT,Total_NOV
136,100,4501115913,20,16250600548,1000,1000,1.0,2917.0,2917.0,0052476261,100,290096,1000,F,NB,,9,20220126,2917.0
137,100,4501115917,20,07940418024,1000,1000,1.0,446.4,446.4,240563 v. 01.02.22,100,214286,1000,F,NB,,9,20220126,446.4
138,100,4501115906,30,07947220005,1000,1000,20.0,0.06,1.2,1200960044 v. 27.01.,100,258299,1000,F,NB,,9,20220126,24.0
139,100,4501114460,90,70000046351,1000,1000,1.0,140.8,140.8,267857,100,211225,1000,F,NB,,9,20220110,140.8
140,100,4501114764,30,70000070925,1000,1000,4.0,7.57,30.28,AB2200043,100,212966,1000,F,NB,,B,20220113,121.12
141,100,4501114699,20,16618770009,1000,1000,1.0,245.6,245.6,Mail 10.03.2022,100,212966,1000,F,NB,,9,20220112,245.6
142,100,4501115781,20,06569364464,1000,1000,40.0,8.82,352.8,21012903,100,212819,1000,F,NB,,B,20220124,14112.0
143,100,4501116159,100,70000055161,1000,1000,1.0,1193.64,1193.64,233721605 v. 08.02.,100,216140,1000,F,NB,,9,20220128,1193.64
144,100,4501116159,120,70000118217,1000,1000,1.0,193.92,193.92,233721605 v. 08.02.,100,216140,1000,F,NB,,9,20220128,193.92
145,100,4501116159,110,70000118214,1000,1000,1.0,168.86,168.86,233721605 v. 08.02.,100,216140,1000,F,NB,,9,20220128,168.86
146,100,4501114955,20,16042770047,1000,1000,16.0,1.5,24.0,22-010,100,210682,1000,F,NB,,B,20220114,384.0
147,100,4501116230,20,30970352105,1000,1000,2.0,6.76,13.52,423772/26.04.22,100,252059,1000,F,NB,,9,20220128,27.04
148,100,4501115163,30,30970350285,1000,1000,1.0,19.47,19.47,410022/18.01.2022,100,252059,1000,F,NB,,B,20220118,19.47
149,100,4501114438,20,16173930709,1000,1000,1.0,23.6,23.6,,100,211843,1000,F,NB,,B,20220110,23.6
150,100,4501114907,20,70000044562,1000,1000,2.0,81.0,162.0,3300965/28.1.22,100,215080,1000,F,NB,,9,20220114,324.0
151,100,4501115453,20,70000048535,1000,1000,1.0,160.0,160.0,,100,290096,1000,F,NB,,9,20220120,160.0
152,100,4501114382,20,07080000018,1000,1000,2.0,14.45,28.9,,100,301489,1000,F,NB,,9,20220105,57.8
